"","Combination","range","sigma2u","beta0","adm.lvl","Coverage","CIs lenght","MAE","AEq0.05","AEq0.95"
"1","1 iid","121","0.2","-6","1","0.022","0.022","0.333","0.013","1.057"
"2","1 bym2","121","0.2","-6","1","0.024","0.023","0.321","0.012","1.056"
"3","1 spde","121","0.2","-6","1","0.799","1.034","0.311","0.013","0.824"
"4","2 iid","121","0.2","-4.3","1","0.011","0.01","0.34","0.012","1.155"
"5","2 bym2","121","0.2","-4.3","1","0.012","0.01","0.303","0.01","0.971"
"6","2 spde","121","0.2","-4.3","1","0.774","1.053","0.34","0.016","0.915"
"7","3 iid","121","0.4","-6","1","0.016","0.022","0.474","0.017","1.803"
"8","3 bym2","121","0.4","-6","1","0.014","0.023","0.483","0.021","1.669"
"9","3 spde","121","0.4","-6","1","0.736","1.497","0.526","0.023","1.565"
"10","4 iid","121","0.4","-4.3","1","0.006","0.01","0.487","0.016","1.777"
"11","4 bym2","121","0.4","-4.3","1","0.006","0.01","0.439","0.017","1.544"
"12","4 spde","121","0.4","-4.3","1","0.683","1.261","0.481","0.019","1.486"
"13","5 iid","600","0.2","-6","1","0.037","0.021","0.194","0.007","0.636"
"14","5 bym2","600","0.2","-6","1","0.044","0.022","0.179","0.006","0.672"
"15","5 spde","600","0.2","-6","1","0.755","0.462","0.16","0.005","0.586"
"16","6 iid","600","0.2","-4.3","1","0.02","0.01","0.225","0.006","0.776"
"17","6 bym2","600","0.2","-4.3","1","0.017","0.009","0.174","0.007","0.554"
"18","6 spde","600","0.2","-4.3","1","0.917","0.528","0.121","0.004","0.414"
"19","7 iid","600","0.4","-6","1","0.026","0.023","0.335","0.009","1.148"
"20","7 bym2","600","0.4","-6","1","0.037","0.022","0.222","0.007","0.735"
"21","7 spde","600","0.4","-6","1","0.798","0.78","0.249","0.008","0.894"
"22","8 iid","600","0.4","-4.3","1","0.017","0.01","0.205","0.007","0.752"
"23","8 bym2","600","0.4","-4.3","1","0.014","0.008","0.272","0.007","1.166"
"24","8 spde","600","0.4","-4.3","1","0.72","0.64","0.222","0.007","0.823"
"25","9 iid","121","0.2","-6","2","0.183","0.101","0.207","0.007","0.725"
"26","9 bym2","121","0.2","-6","2","0.166","0.11","0.245","0.008","0.891"
"27","9 spde","121","0.2","-6","2","0.609","0.414","0.187","0.006","0.669"
"28","10 iid","121","0.2","-4.3","2","0.082","0.049","0.239","0.006","0.879"
"29","10 bym2","121","0.2","-4.3","2","0.084","0.045","0.218","0.007","0.79"
"30","10 spde","121","0.2","-4.3","2","0.611","0.423","0.183","0.006","0.635"
"31","11 iid","121","0.4","-6","2","0.133","0.092","0.293","0.008","1.156"
"32","11 bym2","121","0.4","-6","2","0.13","0.11","0.336","0.01","1.403"
"33","11 spde","121","0.4","-6","2","0.612","0.556","0.237","0.007","0.863"
"34","12 iid","121","0.4","-4.3","2","0.062","0.047","0.316","0.008","1.188"
"35","12 bym2","121","0.4","-4.3","2","0.057","0.049","0.334","0.01","1.269"
"36","12 spde","121","0.4","-4.3","2","0.633","0.593","0.244","0.007","0.937"
"37","13 iid","600","0.2","-6","2","0.406","0.114","0.096","0.003","0.362"
"38","13 bym2","600","0.2","-6","2","0.348","0.089","0.088","0.003","0.301"
"39","13 spde","600","0.2","-6","2","0.665","0.205","0.082","0.003","0.287"
"40","14 iid","600","0.2","-4.3","2","0.173","0.042","0.083","0.003","0.313"
"41","14 bym2","600","0.2","-4.3","2","0.19","0.04","0.078","0.003","0.272"
"42","14 spde","600","0.2","-4.3","2","0.678","0.144","0.056","0.002","0.198"
"43","15 iid","600","0.4","-6","2","0.379","0.129","0.118","0.003","0.465"
"44","15 bym2","600","0.4","-6","2","0.264","0.098","0.137","0.004","0.543"
"45","15 spde","600","0.4","-6","2","0.672","0.246","0.099","0.003","0.404"
"46","16 iid","600","0.4","-4.3","2","0.168","0.048","0.113","0.003","0.501"
"47","16 bym2","600","0.4","-4.3","2","0.18","0.055","0.143","0.003","0.661"
"48","16 spde","600","0.4","-4.3","2","0.696","0.225","0.08","0.002","0.291"
